Dist1,Dist2,Dist3,Dist4,Dist5,Dist6,Dist7,Choice,Velocity
51,90,148,148,94,76,67,1.0,1.786765180256111e-16
53,87,148,148,93,73,67,4.0,0.1900000000000002
62,84,148,148,90,52,52,8.0,0.4000000000000004
66,90,149,148,80,46,48,2.0,-0.3
56,74,149,133,108,62,60,8.0,-0.1949999999999999
54,71,148,114,113,65,61,4.0,0.0900000000000002
64,79,148,113,110,55,52,8.0,0.1550000000000002
65,81,148,119,107,53,51,2.0,-0.0549999999999998
55,67,148,72,134,67,61,2.0,-0.3
49,59,148,71,148,75,65,4.0,0.0850000000000002
62,68,120,79,148,67,55,8.0,0.3550000000000004
71,80,139,72,148,55,45,2.0,-0.0049999999999998
63,68,120,76,148,66,54,8.0,-0.2599999999999999
59,62,111,127,148,73,59,3.0,0.0700000000000002
68,73,109,148,147,70,50,8.0,0.1700000000000002
65,76,113,148,147,69,48,2.0,-0.0499999999999998
61,63,95,148,148,82,56,8.0,-0.2249999999999999
60,61,88,148,148,86,57,4.0,0.1550000000000002
68,72,95,149,148,87,52,8.0,0.0850000000000001
67,70,92,149,148,89,53,2.0,-0.1749999999999999
57,54,74,149,145,105,62,8.0,-0.1399999999999998
53,56,73,148,122,110,61,4.0,0.2050000000000003
69,72,92,149,141,98,53,8.0,0.1350000000000002
70,74,93,149,142,96,53,1.0,1.786765180256111e-16
70,74,93,149,142,96,53,8.0,1.786765180256111e-16
70,75,93,148,140,97,53,4.0,0.0450000000000001
72,87,99,149,111,112,49,8.0,0.2250000000000003
73,94,105,149,105,126,47,4.0,0.1800000000000002
72,106,114,50,98,148,44,8.0,0.0350000000000001
69,108,115,50,96,148,44,4.0,0.1250000000000002
58,119,126,52,79,148,46,8.0,0.2800000000000003
54,127,133,52,78,148,44,1.0,1.786765180256111e-16
49,134,139,52,71,148,48,8.0,0.2350000000000003
48,127,134,52,71,148,47,3.0,0.0300000000000001
49,141,144,52,70,148,49,3.0,0.3600000000000004
50,149,73,52,64,131,56,8.0,0.4700000000000005
49,149,74,50,60,111,148,2.0,0.0750000000000001
49,149,74,49,61,117,67,8.0,-0.0699999999999998
49,149,73,52,63,121,60,2.0,-0.1949999999999999
50,149,73,51,65,131,57,8.0,2.0990154059319366e-16
49,149,74,51,65,129,56,3.0,0.1100000000000002
49,149,74,49,59,109,148,3.0,0.4600000000000005
55,99,150,41,30,40,86,8.0,0.5900000000000006
91,149,66,52,73,148,73,6.0,0.2850000000000001
97,149,67,53,80,148,68,8.0,0.16
94,149,67,53,81,148,65,1.0,0.0049999999999999
92,148,67,54,80,148,66,3.0,0.0749999999999999
81,149,71,55,80,148,65,3.0,0.4100000000000002
69,149,75,57,82,148,64,3.0,0.7
65,149,80,59,85,148,61,3.0,0.7
59,149,117,52,56,148,107,8.0,0.6349999999999999
80,149,79,36,41,148,113,3.0,0.2849999999999996
82,149,66,32,36,148,112,8.0,0.0799999999999994
86,149,63,31,36,143,108,3.0,0.2199999999999995
90,149,54,27,33,129,104,8.0,0.0749999999999994
91,149,50,25,32,123,103,3.0,0.2099999999999995
99,149,38,22,138,100,92,8.0,0.3799999999999996
103,149,32,148,114,82,81,3.0,0.1799999999999995
100,149,34,148,108,70,73,4.0,0.2899999999999996
99,149,51,137,98,51,57,8.0,0.2199999999999995
93,149,44,83,126,65,67,2.0,-0.1500000000000006
97,149,41,81,120,79,76,5.0,-0.3
97,149,42,39,127,89,84,8.0,2.0990154059319366e-16
97,149,42,39,127,89,84,3.0,0.0350000000000002
92,149,51,51,144,78,76,4.0,0.3600000000000004
96,149,41,89,122,62,66,4.0,0.2350000000000003
85,137,149,74,148,50,37,4.0,0.5600000000000006
90,149,68,79,148,37,23,8.0,0.5100000000000006
105,149,66,79,148,37,23,2.0,0.1250000000000002
107,149,62,74,148,42,26,8.0,-0.0899999999999998
108,149,65,79,148,37,23,3.0,0.3250000000000004
120,149,63,79,148,37,23,8.0,0.0850000000000001
120,149,63,78,148,37,23,3.0,0.0150000000000001
128,149,63,80,148,37,23,8.0,0.2750000000000003
134,149,61,79,148,39,23,2.0,-0.1149999999999998
136,149,54,68,148,49,31,1.0,-0.0999999999999998
137,150,54,68,148,49,32,4.0,0.0450000000000002
78,149,65,67,149,57,25,4.0,0.3800000000000004
45,149,72,64,143,102,27,8.0,0.3500000000000004
41,149,75,63,130,137,28,4.0,0.1850000000000002
35,149,82,64,109,148,31,8.0,0.2450000000000003
35,149,82,65,111,148,31,4.0,0.0150000000000001
31,149,94,64,94,148,37,8.0,0.2500000000000003
32,148,94,65,96,148,38,4.0,0.0500000000000001
32,147,103,64,87,148,47,8.0,0.1600000000000002
31,145,103,64,87,148,45,3.0,0.0600000000000001
34,149,98,63,86,148,50,3.0,0.3900000000000004
41,149,93,62,88,148,61,3.0,0.3950000000000004
49,149,89,61,95,148,60,3.0,0.7
58,149,87,64,149,139,54,8.0,0.4299999999999997
57,149,95,65,149,133,53,1.0,0.1099999999999994
57,148,96,65,149,136,54,8.0,0.0049999999999994
57,149,98,66,149,136,54,4.0,0.1249999999999994
49,107,149,66,77,146,72,8.0,0.4349999999999997
54,116,149,61,149,128,74,4.0,0.2299999999999995
60,126,149,55,149,115,74,8.0,0.1949999999999995
60,130,149,54,149,111,73,4.0,0.0399999999999994
60,107,149,53,150,112,76,4.0,0.3649999999999996
71,115,149,45,149,102,69,8.0,0.2199999999999995
75,123,148,56,149,92,63,4.0,0.3249999999999996
76,117,149,59,149,104,56,8.0,0.4349999999999997
79,129,149,65,149,92,50,2.0,-0.2500000000000007
76,115,148,58,150,106,57,3.0,-0.0699999999999997
71,114,148,58,149,127,57,4.0,0.2750000000000003
71,120,148,60,147,126,54,8.0,1.786765180256111e-16
